ID,customer_code,product_code,estimated_cost,quantity,unit_price,delivery_date,status,created_at
mfqn0wkcfjyi19,15112051,PROD043,5283.69,72,73.38,2025-09-24,SHIPPED,2025-08-25T09:28:59.100Z
mfqn0wkcrdampl,15112052,PROD044,5772.37,8,721.55,2025-10-01,CANCELLED,2025-09-19T09:28:59.100Z
mfqn0wkcob7lsg,15112053,PROD045,8877.94,53,167.51,2025-10-15,CANCELLED,2025-09-13T09:28:59.100Z
mfqn0wkclw8ffy,15112054,PROD046,836.53,42,19.92,2025-10-14,DELIVERED,2025-09-11T09:28:59.100Z
mfqn0wkcn30sdq,15112055,PROD047,4392.03,80,54.90,2025-10-04,CONFIRMED,2025-09-08T09:28:59.100Z
mfqn0wkcex8ecy,15112056,PROD048,2676.83,97,27.60,2025-09-21,CONFIRMED,2025-09-12T09:28:59.100Z
mfqn0wkc7kbu4c,15112057,PROD049,2995.95,36,83.22,2025-10-11,PENDING,2025-09-02T09:28:59.100Z
mfqn0wkc0srjl3,15112058,PROD050,3195.82,49,65.22,2025-10-09,CANCELLED,2025-09-04T09:28:59.100Z
mfqn0wkcn3pbq1,15112059,PROD051,8208.67,90,91.21,2025-09-23,SHIPPED,2025-09-03T09:28:59.100Z
mfqn0wkc3mpha2,15112060,PROD052,5661.77,33,171.57,2025-10-19,CONFIRMED,2025-09-03T09:28:59.100Z
mfqn0wkcjsdsk1,15112061,PROD053,2762.46,14,197.32,2025-10-19,SHIPPED,2025-09-19T09:28:59.100Z
mfqn0wkcu6yjl1,15112062,PROD054,6310.04,34,185.59,2025-10-15,CONFIRMED,2025-09-05T09:28:59.100Z
mfqn0wkcmsyoqp,15112063,PROD055,4261.71,90,47.35,2025-10-01,PENDING,2025-09-02T09:28:59.100Z
mfqn0wkck9eq0b,15112064,PROD056,4384.38,2,2192.19,2025-10-14,CANCELLED,2025-09-15T09:28:59.100Z
mfqn0wkcsmxbyc,15112065,PROD057,8963.37,98,91.46,2025-10-12,DELIVERED,2025-08-22T09:28:59.100Z
mfqn0wkcuf5841,15112066,PROD058,2514.83,11,228.62,2025-09-28,PENDING,2025-08-22T09:28:59.100Z
mfqn0wkcbzn72t,15112067,PROD059,2097.34,45,46.61,2025-10-12,SHIPPED,2025-08-30T09:28:59.100Z
mfqn0wkcr9ilpq,15112068,PROD060,4665.92,63,74.06,2025-10-02,SHIPPED,2025-08-24T09:28:59.100Z
mfqn0wkcomeoq8,15112069,PROD061,3049.00,93,32.78,2025-10-13,CONFIRMED,2025-09-18T09:28:59.100Z
mfqn0wkcdhte7t,15112070,PROD062,8384.32,5,1676.86,2025-10-11,CONFIRMED,2025-09-03T09:28:59.100Z
mfqn0wkcx0xp5b,15112071,PROD063,4155.91,18,230.88,2025-09-26,DELIVERED,2025-09-06T09:28:59.100Z
mfqn0wkcqbq9lq,15112072,PROD064,11.93,23,0.52,2025-09-27,DELIVERED,2025-08-21T09:28:59.100Z
mfqn0wkc898yjb,15112073,PROD065,8784.88,18,488.05,2025-10-01,CONFIRMED,2025-09-18T09:28:59.100Z
mfqn0wkc0n1ir4,15112074,PROD066,4245.32,28,151.62,2025-10-10,CONFIRMED,2025-09-09T09:28:59.100Z
mfqn0wkcw2ufz9,15112075,PROD067,7531.97,14,538.00,2025-10-03,PENDING,2025-09-06T09:28:59.100Z
mfqn0wkcknshdj,15112076,PROD068,6407.70,49,130.77,2025-10-03,SHIPPED,2025-08-23T09:28:59.100Z
mfqn0wkcp3dw22,15112077,PROD069,8413.20,64,131.46,2025-09-29,PENDING,2025-08-22T09:28:59.100Z
mfqn0wkcsyfmdl,15112078,PROD070,2347.95,60,39.13,2025-10-08,PENDING,2025-09-07T09:28:59.100Z
mfqn0wkcctjb1y,15112079,PROD071,44.13,80,0.55,2025-10-07,PENDING,2025-08-23T09:28:59.100Z
mfqn0wkcuo3lqe,15112080,PROD072,9241.51,99,93.35,2025-10-03,PENDING,2025-09-08T09:28:59.100Z
mfqn0wkcovmtxh,15112081,PROD073,5081.47,73,69.61,2025-09-25,CONFIRMED,2025-09-08T09:28:59.100Z
mfqn0wkc0ohadv,15112082,PROD074,2328.56,85,27.39,2025-09-22,PENDING,2025-09-14T09:28:59.100Z
mfqn0wkcuv5gkd,15112083,PROD075,6367.71,69,92.29,2025-10-13,CONFIRMED,2025-08-24T09:28:59.100Z
mfqn0wkcuz2x78,15112084,PROD076,5908.76,70,84.41,2025-10-07,DELIVERED,2025-09-04T09:28:59.100Z
mfqn0wkcccrtm1,15112085,PROD077,5137.41,91,56.46,2025-09-27,DELIVERED,2025-08-28T09:28:59.100Z
mfqn0wkcbexbgz,15112086,PROD078,2133.94,94,22.70,2025-10-15,SHIPPED,2025-09-18T09:28:59.100Z
mfqn0wkctdq3kq,15112087,PROD079,3846.11,75,51.28,2025-09-28,SHIPPED,2025-09-06T09:28:59.100Z
mfqn0wkcx8qzau,15112088,PROD080,9030.68,38,237.65,2025-09-24,SHIPPED,2025-08-30T09:28:59.100Z
mfqn0wkcw3dthk,15112089,PROD081,6141.78,8,767.72,2025-09-23,CANCELLED,2025-08-30T09:28:59.100Z
mfqn0wkciv1dcg,15112090,PROD082,3785.31,79,47.92,2025-10-19,PENDING,2025-09-06T09:28:59.100Z
mfqn0wkchkscyx,15112091,PROD083,9020.72,90,100.23,2025-09-21,CANCELLED,2025-08-21T09:28:59.100Z
mfqn0wkcimvdqm,15112092,PROD084,6586.47,62,106.23,2025-10-18,DELIVERED,2025-09-02T09:28:59.100Z
mfqn0wkc5q02ir,15112093,PROD085,5076.74,81,62.68,2025-09-25,DELIVERED,2025-09-13T09:28:59.100Z
mfqn0wkcqufybn,15112094,PROD086,7139.89,59,121.02,2025-10-01,CANCELLED,2025-08-22T09:28:59.100Z
mfqn0wkcodd5l1,15112095,PROD087,1746.30,39,44.78,2025-09-23,CANCELLED,2025-09-19T09:28:59.100Z
mfqn0wkcp3dwla,15112096,PROD088,338.39,57,5.94,2025-09-30,CANCELLED,2025-09-15T09:28:59.100Z
mfqn0wkcubrlos,15112097,PROD089,5306.78,7,758.11,2025-09-30,PENDING,2025-09-02T09:28:59.100Z
mfqn0wkcalxio3,15112098,PROD090,8207.84,73,112.44,2025-09-23,SHIPPED,2025-08-26T09:28:59.100Z
mfqn0wkc9xius4,15112099,PROD091,2591.16,14,185.08,2025-09-29,SHIPPED,2025-09-12T09:28:59.100Z
mfqn0wkcucc9q2,151120100,PROD092,5384.68,31,173.70,2025-10-08,CANCELLED,2025-09-17T09:28:59.100Z
mfqn0wkcnkt87q,151120101,PROD093,2165.04,95,22.79,2025-09-22,DELIVERED,2025-09-03T09:28:59.100Z
mfqn0wkcbxtfya,151120102,PROD094,3516.66,34,103.43,2025-10-18,DELIVERED,2025-09-15T09:28:59.100Z
mfqn0wkcm3yrae,151120103,PROD095,9159.90,71,129.01,2025-10-08,CANCELLED,2025-09-05T09:28:59.100Z
mfqn0wkc9ipxy8,151120104,PROD096,1961.12,49,40.02,2025-10-08,PENDING,2025-09-09T09:28:59.100Z
mfqn0wkc72zpg8,151120105,PROD097,5872.42,100,58.72,2025-10-12,PENDING,2025-08-31T09:28:59.100Z
mfqn0wkcchvmzk,151120106,PROD098,6641.55,5,1328.31,2025-10-16,PENDING,2025-09-06T09:28:59.100Z
mfqn0wkcec0lw9,151120107,PROD099,5040.55,94,53.62,2025-10-09,PENDING,2025-09-10T09:28:59.100Z
mfqn0wkc3693v4,151120108,PROD100,309.55,95,3.26,2025-09-25,CANCELLED,2025-09-09T09:28:59.100Z
